Initial state,P(Loser = Player 1)
"(1, 12, 17)",28937493225/31381236757
"(1, 12, 18)",1008/1093
"(1, 12, 19)",735563/797160
"(1, 12, 20)",260616007575/282430067923
"(1, 12, 21)",2018/2187
"(1, 12, 22)",48879481874/52955438445
"(1, 12, 23)",207815419851863598/225141952945498681
"(1, 12, 24)",12/13
"(1, 12, 25)",449/486
"(1, 12, 26)",1713224670948261/1853020231898563
"(1, 12, 27)",10575479286783/11438396227480
"(1, 12, 28)",40945/44286
"(1, 12, 29)",29014716807/31381236757
"(1, 12, 30)",9950125/10761678
"(1, 12, 31)",1566754308193/1694577218886
"(1, 12, 32)",3223898199/3486843451
"(1, 12, 33)",54596/59049
"(1, 12, 34)",179102201/193710240
"(1, 12, 35)",1248955945698486969/1350851718835253557
"(1, 12, 36)",674/729
"(1, 12, 37)",59699183/64569717
"(1, 12, 38)",8194578245639060380623/8862938119746644274757
"(1, 12, 39)",59701454/64570077
"(1, 12, 40)",12133/13122
"(1, 12, 41)",1365861456020721682917/1477156353275416849321
"(1, 12, 42)",285568806475319/308836698141609
"(1, 12, 43)",58033594409/62762119218
"(1, 12, 44)",3174980479750344946229435706039/3433683820292514337678037941123
"(1, 12, 45)",2211311/2391483
"(1, 12, 46)",42307026222997/45753584909922
"(1, 12, 47)",1687374064326501666031472583642738261/1824800363140073128709903695529576011
"(1, 12, 48)",54602/59049
"(1, 12, 49)",327613/354294
"(1, 12, 50)",1959942259295467573951224567/2119557913760810175714721660
"(1, 13, 1)",1/2
"(1, 13, 2)",592913/797148
"(1, 13, 3)",278/363
"(1, 13, 4)",5/6
"(1, 13, 5)",145/162
"(1, 13, 6)",145/162
"(1, 13, 7)",49/54
"(1, 13, 8)",49/54
"(1, 13, 9)",49/54
"(1, 13, 10)",49/54
"(1, 13, 11)",49/54
"(1, 13, 12)",49/54
"(1, 13, 13)",25/27
"(1, 13, 14)",17/18
"(1, 13, 15)",17/18
"(1, 13, 16)",17/18
"(1, 13, 17)",17/18
"(1, 13, 18)",17/18
"(1, 13, 19)",17/18
"(1, 13, 20)",17/18
"(1, 13, 21)",17/18
"(1, 13, 22)",17/18
"(1, 13, 23)",17/18
"(1, 13, 24)",17/18
"(1, 13, 25)",17/18
"(1, 13, 26)",17/18
"(1, 13, 27)",17/18
"(1, 13, 28)",17/18
"(1, 13, 29)",17/18
"(1, 13, 30)",17/18
"(1, 13, 31)",17/18
"(1, 13, 32)",17/18
"(1, 13, 33)",17/18
"(1, 13, 34)",17/18
"(1, 13, 35)",17/18
"(1, 13, 36)",17/18
"(1, 13, 37)",17/18
"(1, 13, 38)",17/18
"(1, 13, 39)",17/18
"(1, 13, 40)",17/18
"(1, 13, 41)",17/18
"(1, 13, 42)",17/18
"(1, 13, 43)",17/18
"(1, 13, 44)",17/18
"(1, 13, 45)",17/18
"(1, 13, 46)",17/18
"(1, 13, 47)",17/18
"(1, 13, 48)",17/18
"(1, 13, 49)",17/18
"(1, 13, 50)",17/18
"(1, 14, 1)",1/2
"(1, 14, 2)",90/121
"(1, 14, 3)",837/1093
"(1, 14, 4)",5/6
"(1, 14, 5)",218/243
"(1, 14, 6)",330573/368089
"(1, 14, 7)",1310891/1434888
"(1, 14, 8)",1456712/1594323
"(1, 14, 9)",1693513402041915/1853020231898563
"(1, 14, 10)",8996/9837
"(1, 14, 11)",80990/88533
"(1, 14, 12)",752946362847647693897337/821581841487258106759759
"(1, 14, 13)",17/18
"(1, 14, 14)",26/27
"(1, 14, 15)",198265807103079/205891146443557
"(1, 14, 16)",255763/265599
"(1, 14, 17)",26/27
"(1, 14, 18)",16060073291109675/16677181828806733
"(1, 14, 19)",2302940/2391483
"(1, 14, 20)",139715579/145083393
"(1, 14, 21)",373129965/387440173
"(1, 14, 22)",248723569/258280326
"(1, 14, 23)",177157/183951
"(1, 14, 24)",1784580550037535/1853020231898563
"(1, 14, 25)",755982365274081673338725153/785021449541040805820267280
"(1, 14, 26)",26/27
"(1, 14, 27)",729/757
"(1, 14, 28)",36137769458970371/37523658824248140
"(1, 14, 29)",16061830533838154/16677181699666569
"(1, 14, 30)",11018244206331/11438396227480
"(1, 14, 31)",24096996286953949/25015772549498760
"(1, 14, 32)",20729711/21520080
"(1, 14, 33)",11532788612249013077453588840645876780577/11972515182562019788712159015848559464891
"(1, 14, 34)",37921/39366
"(1, 14, 35)",85285/88533
"(1, 14, 36)",373248027/387440173
"(1, 14, 37)",62204927/64570077
"(1, 14, 38)",170660/177147
"(1, 14, 39)",1053/1093
"(1, 14, 40)",1405/1458
"(1, 14, 41)",2108/2187
"(1, 14, 43)",11821/12264
"(1, 14, 44)",16074787747985180/16677181699666569
"(1, 14, 45)",1758887109933911659515434338121138145/1824800363140073128709903695529576011
"(1, 14, 46)",10716550305895129/11118121133111046
"(1, 14, 47)",72336553706669569/75047317626976200
"(1, 14, 48)",20430021721877638170154692093/21195579137608101757147216600
"(1, 14, 49)",44101078689277/45753584909922
"(1, 14, 50)",1679656856/1742595039
"(1, 15, 1)",1/2
"(1, 15, 2)",813/1093
"(1, 15, 3)",62/81
"(1, 15, 4)",5/6
"(1, 15, 5)",3128232981/3486843451
"(1, 15, 6)",327/364
"(1, 15, 7)",107893/118098
"(1, 15, 8)",486237/532171
"(1, 15, 9)",999/1093
