Initial state,P(Loser = Player 1)
"(1, 15, 10)",1485212832129632612844233440955444976160917952238084723686514049785207/2313963655278261561710642175670447919932901996040765230340625041979944
"(1, 15, 11)",21246092250530846826865083009782845302770442061101219311/33140322563104141717723555603947549589162774661067644511
"(1, 15, 12)",412918634525203854558971043736964054844142935244549575796539765044875726398192863/650601217491802300436959194816660273443895106112585651284984080366466613120808936
"(1, 15, 13)",3385542897474162576978607408363176086448197362810819561879023814885909/5382093713602359654280267053244012156815479609496018762158063240044182
"(1, 15, 15)",92112192544197429384118163794521194682367432134598816408130029461334447952284553/174772675430178374555854751414038185949454217749495465591344704262064230788888197
"(1, 15, 17)",15503685044039625351977257733111053247594265171285667852932487648401263415088625743/24564518379554688082632386176410488072827954192858544049244350053836846638213267961
"(1, 16, 1)",8175224237457044372027070629/16425286337759545344114515226
"(1, 16, 2)",1674494814672466066192438339/2856388343613233576872397036
"(1, 16, 3)",35548295235852279099190454831911842523/57961442947535311667794994473863737322
"(1, 16, 4)",66327298471560531292392785490554/105615618000709461364843182788871
"(1, 16, 5)",6037602250740596776023012657947529509853431669/9681228224551303149288567839235952124886996282
"(1, 16, 6)",533733347534767510923681305835888404864317/841378396989014329338696191526038296356642
"(1, 16, 7)",5625435842827694111247091565125626626361497703142090936/8783247035140904842219746460037824870603096741085644987
"(1, 16, 8)",5456276367602659736449592634047878856589783661459/8467014971496414597733425635487835440293995215365
"(1, 16, 9)",39173214111966691002305984383452845793197689013922993625918591170413/60893780402059514781859004622906524208760578843178032377384869525788
"(1, 16, 10)",7112981433917050881187677828753096872942017609571898831/11046774187701380572574518534649183196387591553689214837
"(1, 16, 11)",139487857856923145197416036601560069407927735291162718415701133042887809906180229/216867072497267433478986398272220091147965035370861883761661360122155537706936312
"(1, 16, 12)",383877865427954669787504495854153419435369794422768826499641374928665/598010412622484406031140783693779128535053289944002084684229248893798
"(1, 16, 13)",654565022203151119090025730148548269237804792373274472954112872347659679759264150607/1029649967794292865868636775260678851200178884248984979612302897786196086935780405908
