Initial state,P(Loser = Player 1)
"(7, 7, 6)",1/6
"(7, 7, 7)",1/3
"(7, 7, 8)",1/2
"(7, 7, 9)",1/2
"(7, 7, 10)",1/2
"(7, 8, 1)",6643/88572
"(7, 8, 2)",2/9
"(7, 8, 3)",27/121
"(7, 8, 4)",37/162
"(7, 8, 5)",170/729
"(7, 8, 6)",91335/368089
"(7, 8, 7)",1/2
"(7, 8, 8)",2/3
"(7, 8, 9)",1235375501063877/1853020231898563
"(7, 8, 10)",14761/22140
"(7, 9, 1)",82/1089
"(7, 9, 2)",243/1093
"(7, 9, 3)",9/40
"(7, 9, 4)",37/162
"(7, 9, 5)",861426333/3486843451
"(7, 9, 6)",93/364
"(7, 9, 7)",1/2
"(7, 9, 8)",1235375501063877/1853020231898563
"(7, 9, 9)",2/3
"(7, 9, 10)",43054039/64570068
"(7, 10, 1)",1/13
"(7, 10, 2)",973/4374
"(7, 10, 3)",109/486
"(7, 10, 4)",13/54
"(7, 10, 5)",1067011/4304664
"(7, 10, 6)",5/18
"(7, 10, 7)",1/2
"(7, 10, 8)",14761/22140
"(7, 10, 9)",43054039/64570068
"(7, 10, 10)",2/3
"(8, 1, 1)",0
"(8, 1, 2)",1/162
"(8, 1, 3)",543/59293
"(8, 1, 4)",0
"(8, 1, 5)",1/54
"(8, 1, 6)",1108269/43053283
"(8, 1, 7)",4/121
"(8, 1, 8)",1/18
"(8, 1, 9)",9/121
"(8, 1, 10)",3/40
"(8, 2, 1)",1/162
"(8, 2, 2)",0
"(8, 2, 3)",1/54
"(8, 2, 4)",1/18
"(8, 2, 5)",1/18
"(8, 2, 6)",1/18
"(8, 2, 7)",1/18
"(8, 2, 8)",1/9
"(8, 2, 9)",1/6
"(8, 2, 10)",1/6
"(8, 3, 1)",543/59293
"(8, 3, 2)",1/54
"(8, 3, 3)",0
"(8, 3, 4)",3/91
"(8, 3, 5)",2217/29524
"(8, 3, 6)",10/121
"(8, 3, 7)",12/121
"(8, 3, 8)",1/6
"(8, 3, 9)",2/9
"(8, 3, 10)",778047663/3486843451
"(8, 4, 1)",0
"(8, 4, 2)",1/18
"(8, 4, 3)",3/91
"(8, 4, 4)",0
"(8, 4, 5)",1/18
"(8, 4, 6)",63/757
"(8, 4, 7)",8/81
"(8, 4, 8)",1/6
"(8, 4, 9)",9/40
"(8, 4, 10)",2/9
"(8, 5, 1)",1/54
"(8, 5, 2)",1/18
"(8, 5, 3)",2217/29524
"(8, 5, 4)",1/18
"(8, 5, 5)",0
"(8, 5, 6)",113/1458
"(8, 5, 7)",145/1458
"(8, 5, 8)",1/6
"(8, 5, 9)",189/820
"(8, 5, 10)",113/486
"(8, 6, 1)",1108269/43053283
"(8, 6, 2)",1/18
"(8, 6, 3)",10/121
"(8, 6, 4)",63/757
"(8, 6, 5)",113/1458
"(8, 6, 6)",0
"(8, 6, 7)",31347/368089
"(8, 6, 8)",1/6
"(8, 6, 9)",170/729
"(8, 6, 10)",14661/59293
"(8, 7, 1)",4/121
"(8, 7, 2)",1/18
"(8, 7, 3)",12/121
"(8, 7, 4)",8/81
"(8, 7, 5)",145/1458
"(8, 7, 6)",31347/368089
"(8, 7, 7)",0
"(8, 7, 8)",1/6
"(8, 7, 9)",459795644113077/1853020231898563
"(8, 7, 10)",23/90
