Initial state,P(Loser = Player 1)
"(6, 5, 10)",23116850618517454250797454599207/70410412000472974243228788525914
"(6, 6, 1)",52680555875/213378126031
"(6, 6, 2)",347/1308
"(6, 6, 3)",2/7
"(6, 6, 4)",14167/46095
"(6, 6, 5)",834456471104921050829/2626941360963688147249
"(6, 6, 6)",1/3
"(6, 6, 7)",1126729420971180217479083363/2856388343613233576872397036
"(6, 6, 8)",6524853/16230326
"(6, 6, 9)",89/218
"(6, 6, 10)",1246820/3015579
"(6, 7, 1)",36220037305006859/137671536538917246
"(6, 7, 2)",9693156956145/34675064776757
"(6, 7, 3)",41767964140499751661487/136563880267996028510418
"(6, 7, 4)",843284521034336447895/2626941360963688147249
"(6, 7, 5)",391724589371472761755718074/1173234738411396096008179659
"(6, 7, 6)",1126729420971180217479083363/2856388343613233576872397036
"(6, 7, 7)",31531830229816125114026185600912575833/86942164421302967501692491710795605983
"(6, 7, 8)",88006530558214641041132578943657/211231236001418922729686365577742
"(6, 7, 9)",686785161598624912994627475397733612205076015/1613538037425217191548094639872658687481166047
"(6, 7, 10)",20323258872858040228773675436034973719320/46743244277167462741038677307002127575369
"(6, 8, 1)",18690482821117/69350129553514
"(6, 8, 2)",904/3073
"(6, 8, 3)",819422269496771161395/2626941360963688147249
"(6, 8, 4)",4695/15019
"(6, 8, 5)",243390615065478285318292357/714097085903308394218099259
"(6, 8, 6)",6524853/16230326
"(6, 8, 7)",88006530558214641041132578943657/211231236001418922729686365577742
"(6, 8, 8)",22035/59129
"(6, 8, 9)",59869626268275718849504481263955065961722/140229732831502388223116031921006382726107
"(6, 8, 10)",1038528790106/2351413678929
"(6, 9, 1)",13403226960451071931882/48772814381427153039435
"(6, 9, 2)",794736660776450621805/2626941360963688147249
"(6, 9, 3)",69/217
"(6, 9, 4)",135411785808716987422848335/408055477659033368124628148
"(6, 9, 5)",177387108454279101989561463946295731501/521652986527817805010154950264773635898
"(6, 9, 6)",89/218
"(6, 9, 7)",686785161598624912994627475397733612205076015/1613538037425217191548094639872658687481166047
"(6, 9, 8)",59869626268275718849504481263955065961722/140229732831502388223116031921006382726107
"(6, 9, 9)",17761/46095
